Ticker,Security,GICS_Sector,GICS_Sub_Industry,Address,Date_added,CIK
GOOGL,Alphabet Inc Class A,Information Technology,Internet Software & Services,"Mountain View, California",2014/4/3,1652044
GOOG,Alphabet Inc Class C,Information Technology,Internet Software & Services,"Mountain View, California",2006/4/3,1652044
MO,Altria Group Inc,Consumer Staples,Tobacco,"Richmond, Virginia",,764180
AMZN,Amazon.com Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",2005/11/18,1018724
AEE,Ameren Corp,Utilities,Multi-Utilities,"St. Louis, Missouri",1991/9/19,1002910
AAL,American Airlines Group,Industrials,Airlines,"Fort Worth, Texas",2015/3/23,6201
AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",,4904
AXP,American Express Co,Financials,Consumer Finance,"New York, New York",1976/6/30,4962
AIG,"American International Group, Inc.",Financials,Property & Casualty Insurance,"New York, New York",1980/3/31,5272
AMT,American Tower Corp A,Real Estate,Specialized REITs,"Boston, Massachusetts",2007/11/19,1053507
AWK,American Water Works Company Inc,Utilities,Water Utilities,"Voorhees, New Jersey",2016/3/4,1410636
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",2005/10/3,820027
ABC,AmerisourceBergen Corp,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania",2001/8/30,1140859
AME,AMETEK Inc.,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",2013/9/23,1037868
AMGN,Amgen Inc.,Health Care,Biotechnology,"Thousand Oaks, California",1992/1/2,318154
APH,Amphenol Corp,Information Technology,Electronic Components,"Wallingford, Connecticut",2008/9/30,820313
APC,Anadarko Petroleum Corp,Energy,Oil & Gas Exploration & Production,"The Woodlands, Texas",1997/7/28,773910
ADI,"Analog Devices, Inc.",Information Technology,Semiconductors,"Norwood, Massachusetts",1999/10/12,6281
ANDV,Andeavor,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",2007/9/27,50104
ANSS,ANSYS,Information Technology,Application Software,"Canonsburg, Pennsylvania",2017/6/19,1013462
ANTM,Anthem Inc.,Health Care,Managed Health Care,"Indianapolis, Indiana",2002/7/25,1156039
AON,Aon plc,Financials,Insurance Brokers,"London,?United Kingdom",1996/4/23,315293
AOS,A.O. Smith?Corp,Industrials,Building Products,"Milwaukee, Wisconsin",2017/7/26,91142
APA,Apache Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1997/7/28,6769
AIV,Apartment Investment & Management,Real Estate,Residential REITs,"Denver, Colorado",2003/3/14,922864
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1982/11/30,320193
AMAT,Applied Materials Inc.,Information Technology,Semiconductor Equipment,"Santa Clara, California",1995/3/16,6951
APTV,Aptiv Plc,Consumer Discretionary,Auto Parts & Equipment,"Gillingham, Kent,?United Kingdom",2012/12/24,1521332
ADM,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products,"Decatur, Illinois",1981/7/29,7084
ARNC,Arconic Inc.,Industrials,Aerospace & Defense,"New York, New York",1964/3/31,4281
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Itasca, Illinois",2016/5/31,354190
AIZ,Assurant?Inc.,Financials,Multi-line Insurance,"New York, New York",2007/4/10,1267238
T,AT&T Inc.,Telecommunication Services,Integrated Telecommunication Services,"Dallas, Texas",1983/11/30,732717
ADSK,Autodesk Inc.,Information Technology,Application Software,"San Rafael, California",1989/12/1,769397
ADP,Automatic Data Processing,Information Technology,Internet Software & Services,"Roseland, New Jersey",1981/3/31,8670
AZO,AutoZone Inc,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",1997/1/2,866787
AVB,"AvalonBay Communities, Inc.",Real Estate,Residential REITs,"Arlington, Virginia[5]",2007/1/10,915912
AVY,Avery Dennison Corp,Materials,Paper Packaging,"Glendale, California",1987/12/31,8818
BHGE,"Baker Hughes, a GE Company",Energy,Oil & Gas Equipment & Services,"Houston, Texas",,1701605
BLL,Ball Corp,Materials,Metal & Glass Containers,"Broomfield, Colorado",1984/10/31,9389
BAC,Bank of America Corp,Financials,Diversified Banks,"Charlotte, North Carolina",1976/6/30,70858
BK,The Bank of New York Mellon Corp.,Financials,Asset Management & Custody Banks,"New York, New York",1995/3/31,1390777
BAX,Baxter International Inc.,Health Care,Health Care Equipment,"Deerfield, Illinois",1972/9/30,10456
BBT,BB&T Corporation,Financials,Regional Banks,"Winston-Salem, North Carolina",1997/12/4,92230
BDX,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",1972/9/30,10795
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska",2010/2/16,1067983
BBY,Best Buy Co. Inc.,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",1999/6/29,764478
BIIB,Biogen Inc.,Health Care,Biotechnology,"Weston, Massachusetts",2003/11/13,875045
BLK,BlackRock,Financials,Asset Management & Custody Banks,"New York, New York",2011/4/4,1364742
HRB,Block H&R,Financials,Consumer Finance,"Kansas City, Missouri",1986/11/30,12659
BA,Boeing Company,Industrials,Aerospace & Defense,"Chicago, Illinois",,12927
BKNG,Booking Holdings Inc,Consumer Discretionary,Internet & Direct Marketing Retail,"Norwalk, Connecticut",2009/11/6,1075531
BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan",2011/12/19,908255
BXP,Boston Properties,Real Estate,Office REITs,"Boston, Massachusetts",2006/4/3,1037540
BSX,Boston Scientific,Health Care,Health Care Equipment,"Marlborough, Massachusetts[6]",1995/2/24,885725
BHF,Brighthouse Financial Inc,Financials,Life & Health Insurance,"Charlotte, North Carolina",2017/8/8,1685040
BMY,Bristol-Myers Squibb,Health Care,Health Care Distributors,"New York, New York",,14272
AVGO,Broadcom,Information Technology,Semiconductors,"San Jose, California",2014/5/8,1441634
BF.B,Brown-Forman Corp.,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",1982/10/31,14693
CHRW,C. H. Robinson Worldwide,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",2007/3/2,1043277
CA,"CA, Inc.",Information Technology,Systems Software,"Islandia, New York",1987/7/31,356028
COG,Cabot Oil & Gas,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2008/6/23,858470
CDNS,Cadence Design Systems,Information Technology,Application Software,"San Jose, California",2017/9/18,813672
CPB,Campbell Soup,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",,16732
COF,Capital One Financial,Financials,Consumer Finance,"Tysons Corner, Virginia",1998/7/1,927628
CAH,Cardinal Health?Inc.,Health Care,Health Care Distributors,"Dublin, Ohio",1997/5/27,721371
KMX,Carmax Inc,Consumer Discretionary,Specialty Stores,"Richmond, Virginia",2010/6/28,1170010
CCL,Carnival Corp.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",1998/12/22,815097
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Trucks,"Peoria, Illinois",,18230
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,"Chicago, Illinois",2017/3/1,1374310
CBRE,CBRE Group,Real Estate,Real Estate Services,"Los Angeles, California",2006/11/10,1138118
CBS,CBS Corp.,Consumer Discretionary,Broadcasting,"New York, New York",1994/9/1,813828
CELG,Celgene Corp.,Health Care,Biotechnology,"Summit, New Jersey",2006/11/6,816284
CNC,Centene Corporation,Health Care,Managed Health Care,"St Louis, Missouri",2016/3/30,1071739
CNP,CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas",1985/7/31,1130310
CTL,CenturyLink Inc,Telecommunication Services,Integrated Telecommunication Services,"Monroe, Louisiana",1999/3/25,18926
CERN,Cerner,Health Care,Health Care Technology,"North Kansas City, Missouri",2010/4/30,804753
CF,CF Industries Holdings Inc,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",2008/8/27,1324404
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,"San Francisco, California",1997/6/2,316709
CHTR,Charter Communications,Consumer Discretionary,Cable & Satellite,"Stamford, Connecticut",2016/9/8,1091667
CVX,Chevron Corp.,Energy,Integrated Oil & Gas,"San Ramon, California",,93410
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Denver, Colorado",2011/4/28,1058090
CB,Chubb Limited,Financials,Property & Casualty Insurance,"Zurich, Switzerland",2010/7/15,896159
CHD,Church & Dwight,Consumer Staples,Household Products,"Ewing, New Jersey",2015/12/29,313927
CI,CIGNA Corp.,Health Care,Managed Health Care,"Philadelphia, Pennsylvania",1976/6/30,701221
XEC,Cimarex Energy,Energy,Oil & Gas Exploration & Production,"Denver, Colorado",2014/6/21,1168054
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,"Fairfield, Ohio",1997/12/18,20286
CTAS,Cintas Corporation,Industrials,Diversified Support Services,"Mason, Ohio",2001/3/1,723254
CSCO,Cisco Systems,Information Technology,Communications Equipment,"San Jose, California",1993/12/1,858877
C,Citigroup Inc.,Financials,Diversified Banks,"New York, New York",1988/5/31,831001
CFG,Citizens Financial Group,Financials,Regional Banks,"Providence, Rhode Island",2016/1/29,759944
CTXS,Citrix Systems,Information Technology,Internet Software & Services,"Fort Lauderdale, Florida",1999/12/1,877890
CLX,The Clorox Company,Consumer Staples,Household Products,"Oakland, California",1969/3/31,21076
CME,CME Group Inc.,Financials,Financial Exchanges & Data,"Chicago, Illinois",2006/8/11,1156375
CMS,CMS Energy,Utilities,Multi-Utilities,"Jackson, Michigan",1999/5/3,811156
KO,Coca-Cola Company?(The),Consumer Staples,Soft Drinks,"Atlanta, Georgia",,21344
CTSH,Cognizant Technology Solutions,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",2006/11/17,1058290
CL,Colgate-Palmolive,Consumer Staples,Household Products,"New York, New York",,21665
CMCSA,Comcast Corp.,Consumer Discretionary,Cable & Satellite,"Philadelphia, Pennsylvania",2015/9/18,1166691
CMA,Comerica Inc.,Financials,Diversified Banks,"Dallas, Texas",1995/12/1,28412
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",1983/8/31,23217
CXO,Concho Resources,Energy,Oil & Gas Exploration & Production,"Midland, Texas",2016/2/22,1358071
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,"Houston, Texas",,1163165
ED,Consolidated Edison,Utilities,Electric Utilities,"New York, New York",,1047862
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,"Victor, New York",2005/7/5,16918
COO,The Cooper Companies,Health Care,Health Care Supplies,"Pleasanton, California",2016/9/23,711404
GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",,24741
COST,Costco Wholesale Corp.,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",1993/10/1,909832
COTY,"Coty, Inc",Consumer Staples,Personal Products,"New York, New York",2016/10/3,1024305
CCI,Crown Castle International Corp.,Real Estate,Specialized REITs,"Houston, Texas",2012/3/14,1051470
CSX,CSX Corp.,Industrials,Railroads,"Jacksonville, Florida",1967/9/30,277948
CMI,Cummins Inc.,Industrials,Industrial Machinery,"Columbus, Indiana",1965/3/31,26172
CVS,CVS Health,Consumer Staples,Drug Retail,"Woonsocket, Rhode Island",,64803
DHI,D. R. Horton,Consumer Discretionary,Homebuilding,"Fort Worth, Texas",,882184
DHR,Danaher Corp.,Health Care,Health Care Equipment,"Washington, D.C.",,313616
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,"Orlando, Florida",,940944
DVA,DaVita?Inc.,Health Care,Health Care Facilities,"Denver, Colorado",2008/7/31,927066
DE,Deere & Co.,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",,315189
DAL,Delta Air Lines?Inc.,Industrials,Airlines,"Atlanta, Georgia",2013/9/11,27904
XRAY,Dentsply Sirona,Health Care,Health Care Supplies,"York, Pennsylvania",2008/11/14,818479
DVN,Devon Energy?Corp.,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",2000/8/30,1090012
DLR,Digital Realty?Trust Inc,Real Estate,Specialized REITs,"San Francisco, California",2016/5/18,1297996
DFS,Discover Financial Services,Financials,Consumer Finance,"Riverwoods, Illinois",2007/7/2,1393612
DISCA,Discovery Inc.?Class A,Consumer Discretionary,Cable & Satellite,"Silver Spring, Maryland",2010/3/1,1437107
DISCK,Discovery Inc.?Class C,Consumer Discretionary,Cable & Satellite,"Silver Spring, Maryland",2014/8/7,1437107
DISH,Dish Network,Consumer Discretionary,Cable & Satellite,"Meridian, Colorado",2017/3/13,1001082
DG,Dollar General,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",2012/12/3,29534
DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",2011/12/19,935703
D,Dominion Energy,Utilities,Electric Utilities,"Richmond, Virginia",,715957
DOV,Dover Corp.,Industrials,Industrial Machinery,"Downers Grove, Illinois",1985/10/31,29905
DWDP,DowDuPont,Materials,Diversified Chemicals,"Midland, Michigan",,1666700
DPS,Dr Pepper Snapple Group,Consumer Staples,Soft Drinks,"Plano, Texas",2008/10/7,1418135
DTE,DTE Energy?Co.,Utilities,Multi-Utilities,"Detroit, Michigan",,936340
DRE,Duke Realty?Corp,Real Estate,Industrial REITs,"Indianapolis, Indiana",2017/7/26,783280
DUK,Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina",1976/6/30,1326160
DXC,DXC Technology,Information Technology,IT Consulting & Other Services,"Tysons Corner, Virginia",2017/4/4,1688568
ETFC,E*Trade,Financials,Investment Banking & Brokerage,"New York, New York",2004/3/31,1015780
EMN,Eastman Chemical,Materials,Diversified Chemicals,"Kingsport, Tennessee",1994/1/1,915389
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,"Dublin, Ireland",,1551182
EBAY,eBay?Inc.,Information Technology,Internet Software & Services,"San Jose, California",,1065088
ECL,Ecolab?Inc.,Materials,Specialty Chemicals,"St. Paul, Minnesota",1989/1/31,31462
EIX,Edison Int'l,Utilities,Electric Utilities,"Rosemead, California",,827052
EW,Edwards Lifesciences,Health Care,Health Care Equipment,"Irvine, California",2011/4/1,1099800
EA,Electronic Arts,Information Technology,Home Entertainment Software,"Redwood City, California",2002/7/22,712515
EMR,Emerson Electric Company,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",1965/3/31,32604
ETR,Entergy Corp.,Utilities,Electric Utilities,"New Orleans, Louisiana",,65984
EVHC,Envision Healthcare,Health Care,Health Care Services,"Nashville, Tennessee",2016/12/2,895930
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,"Houston, Texas",2000/11/2,821189
EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania",2008/12/19,33213
EFX,Equifax Inc.,Industrials,Research & Consulting Services,"Atlanta, Georgia",1997/6/19,33185
EQIX,Equinix,Real Estate,Specialized REITs,"Redwood City, California",2015/3/20,1101239
EQR,Equity Residential,Real Estate,Residential REITs,"Chicago, Illinois",2001/12/3,906107
ESS,"Essex Property Trust, Inc.",Real Estate,Residential REITs,"Palo Alto, California",2014/4/2,920522
EL,Estee Lauder Cos.,Consumer Staples,Personal Products,"New York, New York",2006/1/5,1001250
ES,Eversource Energy,Utilities,Multi-Utilities,"Springfield, Massachusetts",,72741
RE,Everest Re?Group Ltd.,Financials,Reinsurance,"Hamilton, Bermuda",2017/6/19,1095073
EXC,Exelon Corp.,Utilities,Multi-Utilities,"Chicago, Illinois",,1109357
EXPE,Expedia Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,"Bellevue, Washington",2007/10/2,1324424
EXPD,Expeditors International,Industrials,Air Freight & Logistics,"Seattle, Washington",2007/10/10,746515
ESRX,Express Scripts,Health Care,Health Care Distributors,"Cool Valley, Missouri",2003/9/25,1532063
EXR,Extra Space Storage,Real Estate,Specialized REITs,"Salt Lake City, Utah",2016/1/19,1289490
XOM,Exxon Mobil Corp.,Energy,Integrated Oil & Gas,"Irving, Texas",,34088
FFIV,F5 Networks,Information Technology,Communications Equipment,"Seattle, Washington",2010/12/20,1048695
FB,"Facebook, Inc.",Information Technology,Internet Software & Services,"Menlo Park, California",2013/12/23,1326801
FAST,Fastenal Co,Industrials,Building Products,"Winona, Minnesota",2009/9/15,815556
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,"Rockville, Maryland",2016/2/1,34903
FDX,FedEx Corporation,Industrials,Air Freight & Logistics,"Memphis, Tennessee",1980/12/31,1048911
FIS,Fidelity National Information Services,Information Technology,Internet Software & Services,"Jacksonville, Florida",2006/11/10,1136893
FITB,Fifth Third Bancorp,Financials,Regional Banks,"Cincinnati, Ohio",,35527
FE,FirstEnergy Corp,Utilities,Electric Utilities,"Akron, Ohio",,1031296
FISV,Fiserv Inc,Information Technology,Internet Software & Services,"Brookfield, Wisconsin",2001/4/2,798354
FLIR,FLIR Systems,Information Technology,Electronic Equipment & Instruments,"Wilsonville, Oregon",2009/1/2,354908
FLS,Flowserve Corporation,Industrials,Industrial Machinery,"Irving, Texas",2008/10/2,30625
FLR,Fluor Corp.,Industrials,Construction & Engineering,"Irving, Texas",1980/3/31,1124198
FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",2009/8/19,37785
FL,Foot Locker Inc,Consumer Discretionary,Apparel Retail,"New York, New York",2016/4/4,850209
F,Ford Motor,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",,37996
FTV,Fortive Corp,Industrials,Industrial Machinery,"Everett, Washington",2016/7/1,1659166
FBHS,Fortune Brands Home & Security,Industrials,Building Products,"Deerfield, Illinois",2016/6/22,1519751
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,"San Mateo, California",,38777
FCX,Freeport-McMoRan Inc.,Materials,Copper,"Phoenix, Arizona",,831259
GPS,Gap Inc.,Consumer Discretionary,Apparel Retail,"San Francisco, California",1986/8/31,39911
GRMN,Garmin Ltd.,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",2012/12/12,1121788
IT,Gartner Inc,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",2017/4/5,749251
GD,General Dynamics,Industrials,Aerospace & Defense,"Falls Church, Virginia",,40533
GE,General Electric,Industrials,Industrial Conglomerates,"Boston, Massachusetts",,40545
GGP,General Growth Properties Inc.,Real Estate,Retail REITs,"Chicago, Illinois",2013/12/10,1496048
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",1969/3/31,40704
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",2013/6/6,1467858
GPC,Genuine Parts,Consumer Discretionary,Specialty Stores,"Atlanta, Georgia",1973/12/31,40987
GILD,Gilead Sciences,Health Care,Biotechnology,"Foster City, California",2004/7/1,882095
GPN,Global Payments Inc.,Information Technology,Data Processing & Outsourced Services,"Atlanta, Georgia",2016/4/25,1123360
GS,Goldman Sachs Group,Financials,Investment Banking & Brokerage,"New York, New York",2002/7/22,886982
GT,Goodyear Tire & Rubber,Consumer Discretionary,Tires & Rubber,"Akron, Ohio",,42582
GWW,Grainger (W.W.) Inc.,Industrials,Industrial Machinery,"Lake Forest, Illinois",1981/6/30,277135
HAL,Halliburton Co.,Energy,Oil & Gas Equipment & Services,"Houston, Texas",,45012
HBI,Hanesbrands Inc,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Winston-Salem, North Carolina",2015/3/20,1359841
HOG,Harley-Davidson,Consumer Discretionary,Motorcycle Manufacturers,"Milwaukee, Wisconsin",,793952
HRS,Harris Corporation,Information Technology,Communications Equipment,"Melbourne, Florida",2008/9/22,202058
HIG,Hartford Financial Svc.Gp.,Financials,Property & Casualty Insurance,"Hartford, Connecticut",,874766
HAS,Hasbro Inc.,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",1984/9/30,46080
HCA,HCA Holdings,Health Care,Health Care Facilities,"Nashville, Tennessee",2015/1/27,860730
HCP,HCP Inc.,Real Estate,Health Care REITs,"Long Beach, California",2008/3/31,765880
HP,Helmerich & Payne,Energy,Oil & Gas Drilling,"Tulsa, Oklahoma[7]",2010/3/1,46765
HSIC,Henry Schein,Health Care,Health Care Distributors,"Melville, New York",2015/3/17,1000228
HSY,The Hershey Company,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",,47111
HES,Hess Corporation,Energy,Integrated Oil & Gas,"New York, New York",1984/5/31,4447
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",2015/11/2,1645590
HLT,Hilton Worldwide?Holdings Inc,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",2017/6/19,1585689
HOLX,Hologic,Health Care,Health Care Equipment,"Marlborough, Massachusetts",2016/3/30,859737
HD,Home Depot,Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",1988/3/31,354950
HON,Honeywell Int'l Inc.,Industrials,Industrial Conglomerates,"Morristown, New Jersey",1964/3/31,773840
HRL,Hormel Foods Corp.,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",2009/3/4,48465
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",2007/3/20,1070750
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",1974/12/31,47217
HUM,Humana Inc.,Health Care,Managed Health Care,"Louisville, Kentucky",,49071
HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio",,49196
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,"Newport News, Virginia",2018/1/3,1501585
IDXX,IDEXX Laboratories,Health Care,Health Care Equipment,"Westbrook, Maine",2017/1/5,874716
INFO,IHS Markit Ltd.,Industrials,Research & Consulting Services,"London,?United Kingdom",2017/6/2,1598014
ITW,Illinois Tool Works,Industrials,Industrial Machinery,"Glenview, Illinois",1986/2/28,49826
ILMN,Illumina Inc,Health Care,Life Sciences Tools & Services,"San Diego, California",2015/11/19,1110803
IR,Ingersoll-Rand PLC,Industrials,Industrial Machinery,"Dublin, Ireland",2010/11/17,1466258
INTC,Intel Corp.,Information Technology,Semiconductors,"Santa Clara, California",1976/12/31,50863
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,"Atlanta, Georgia",2007/9/26,1571949
IBM,International Business Machines,Information Technology,IT Consulting & Other Services,"Armonk, New York",,51143
INCY,Incyte,Health Care,Biotechnology,"Wilmington, Delaware",2017/2/28,879169
IP,International Paper,Materials,Paper Packaging,"Memphis, Tennessee",,51434
IPG,Interpublic Group,Consumer Discretionary,Advertising,"New York, New York",1992/10/1,51644
IFF,Intl Flavors & Fragrances,Materials,Specialty Chemicals,"New York, New York",1976/3/31,51253
INTU,Intuit?Inc.,Information Technology,Internet Software & Services,"Mountain View, California",2000/12/5,896878
ISRG,Intuitive Surgical Inc.,Health Care,Health Care Equipment,"Sunnyvale, California",2008/6/2,1035267
IVZ,Invesco Ltd.,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",2008/8/21,914208
IPGP,IPG Photonics Corp.,Information Technology,Electronic Manufacturing Services,"Oxford, Massachusetts",2018/3/7,1111928
IQV,IQVIA?Holdings Inc.,Health Care,Life Sciences Tools & Service,"Durham, North Carolina",2017/8/29,1478242
IRM,Iron Mountain Incorporated,Real Estate,Specialized REITs,"Boston, Massachusetts",2009/1/6,1020569
JEC,Jacobs Engineering Group,Industrials,Construction & Engineering,"Pasadena, California",2007/10/26,52988
JBHT,J. B. Hunt Transport Services,Industrials,Trucking,"Lowell, Arkansas",2015/7/1,728535
SJM,JM Smucker,Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",2008/11/6,91419
JNJ,Johnson & Johnson,Health Care,Health Care Equipment,"New Brunswick, New Jersey",1973/6/30,200406
JCI,Johnson Controls International,Industrials,Building Products,"Cork, Ireland",2010/8/27,833444
JPM,JPMorgan Chase & Co.,Financials,Diversified Banks,"New York, New York",1975/6/30,19617
JNPR,Juniper Networks,Information Technology,Communications Equipment,"Sunnyvale, California",,1043604
KSU,Kansas City Southern,Industrials,Railroads,"Kansas City, Missouri",2013/5/24,54480
K,Kellogg Co.,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan",,55067
KEY,KeyCorp,Financials,Regional Banks,"Cleveland, Ohio",1994/3/1,91576
KMB,Kimberly-Clark,Consumer Staples,Household Products,"Irving, Texas",,55785
KIM,Kimco Realty,Real Estate,Retail REITs,"New Hyde Park, New York",2006/4/4,879101
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",2012/5/25,1506307
KLAC,KLA-Tencor Corp.,Information Technology,Semiconductor Equipment,"Milpitas, California",,319201
KSS,Kohl's?Corp.,Consumer Discretionary,General Merchandise Stores,"Menomonee Falls, Wisconsin",,885639
KHC,Kraft Heinz?Co,Consumer Staples,Packaged Foods & Meats,"Pittsburgh, Pennsylvania",2015/7/6,1637459
KR,Kroger Co.,Consumer Staples,Food Retail,"Cincinnati, Ohio",,56873
